collectedAt,content.data.employeeCount,content.entityName,recordType,schemaVersion,source.name,source.url
2026-08-12T11:58:35.197376+00:00,60,TENDERD,STARTUP,1.0,Y Combinator,https://www.tenderd.com/
2026-08-12T11:58:35.197426+00:00,20,Nestor,STARTUP,1.0,Y Combinator,https://nestorup.com
2026-08-12T11:58:35.197433+00:00,40,Shelf Engine,STARTUP,1.0,Y Combinator,http://www.shelfengine.com
2026-08-12T11:58:35.197447+00:00,55,Eden,STARTUP,1.0,Y Combinator,https://edenmed.com
2026-08-12T11:58:35.197475+00:00,18,BrainHi,STARTUP,1.0,Y Combinator,https://www.brainhi.com
2026-08-12T11:58:35.197504+00:00,204,Kobo360,STARTUP,1.0,Y Combinator,http://www.kobo360.com
2026-08-12T11:58:35.197530+00:00,20,Mutiny,STARTUP,1.0,Y Combinator,https://www.mutinyhq.com
2026-08-12T11:58:35.197559+00:00,500,Leena AI,STARTUP,1.0,Y Combinator,https://www.leena.ai
2026-08-12T11:58:35.197616+00:00,15,SPATE,STARTUP,1.0,Y Combinator,https://www.spate.nyc
2026-08-12T11:58:35.197640+00:00,20,LemonBox,STARTUP,1.0,Y Combinator,http://www.lemonbox.com/
2026-08-12T11:58:35.197651+00:00,50,iLabService,STARTUP,1.0,Y Combinator,https://www.ilabservice.ai
2026-08-12T11:58:35.197714+00:00,4,Aesthetic,STARTUP,1.0,Y Combinator,https://www.aesthetic.com
2026-08-12T11:58:35.197726+00:00,85,Kunduz,STARTUP,1.0,Y Combinator,https://kunduz.com/
2026-08-12T11:58:35.197744+00:00,40,Overview,STARTUP,1.0,Y Combinator,https://overview.ai
2026-08-12T11:58:35.197780+00:00,10,Flockjay,STARTUP,1.0,Y Combinator,https://flockjay.com
2026-08-12T11:58:35.197864+00:00,18,AllSome Fulfillment,STARTUP,1.0,Y Combinator,https://www.allsome.com
2026-08-12T11:58:35.197875+00:00,85,Pachama,STARTUP,1.0,Y Combinator,http://pachama.com
2026-08-12T11:58:35.197902+00:00,21,Keeper,STARTUP,1.0,Y Combinator,https://keepertax.com
2026-08-12T11:58:35.197953+00:00,45,Centaur,STARTUP,1.0,Y Combinator,https://centaur.ai/
2026-08-12T11:58:35.198039+00:00,5,Windsor,STARTUP,1.0,Y Combinator,https://windsor.io
2026-08-12T11:58:35.198076+00:00,73,Hatch,STARTUP,1.0,Y Combinator,http://usehatch.ai
2026-08-12T11:58:35.198083+00:00,20,BrainKey,STARTUP,1.0,Y Combinator,https://www.brainkey.ai/
2026-08-12T11:58:35.198104+00:00,16,MedCrypt,STARTUP,1.0,Y Combinator,https://www.medcrypt.co
2026-08-12T11:58:35.198149+00:00,70,GoLinks,STARTUP,1.0,Y Combinator,https://www.golinks.io
2026-08-12T11:58:35.198163+00:00,9,Tailornova/Couturme,STARTUP,1.0,Y Combinator,http://patternfast.com
2026-08-12T11:58:35.198199+00:00,101,Community Phone Company,STARTUP,1.0,Y Combinator,https://www.communityphone.org/
2026-08-12T11:58:35.198206+00:00,2,Basilica,STARTUP,1.0,Y Combinator,https://www.basilica.ai
2026-08-12T11:58:35.198221+00:00,2,Sapling.ai,STARTUP,1.0,Y Combinator,https://sapling.ai
2026-08-12T11:58:35.198275+00:00,25,Demodesk,STARTUP,1.0,Y Combinator,https://demodesk.com
2026-08-12T11:58:35.198286+00:00,16,AI Insurance,STARTUP,1.0,Y Combinator,https://www.aiinsurance.io
2026-08-12T11:58:35.198340+00:00,2,Evo.Do,STARTUP,1.0,Y Combinator,http://www.evo.do/
2026-08-12T11:58:35.198354+00:00,2,Docucharm,STARTUP,1.0,Y Combinator,http://www.docucharm.com
2026-08-12T11:58:35.198395+00:00,17,Askdata,STARTUP,1.0,Y Combinator,http://www.askdata.com
2026-08-12T11:58:35.198423+00:00,17,Probably Genetic,STARTUP,1.0,Y Combinator,https://www.probablygenetic.com/
2026-08-12T11:58:35.198465+00:00,30,Superorder,STARTUP,1.0,Y Combinator,https://superorder.com/
2026-08-12T11:58:35.198480+00:00,30,Bunkerhill Health,STARTUP,1.0,Y Combinator,http://bunkerhillhealth.com
2026-08-12T11:58:35.198524+00:00,50,Landed,STARTUP,1.0,Y Combinator,https://www.gotlanded.com
2026-08-12T11:58:35.198536+00:00,1,Autodial prev Qwest,STARTUP,1.0,Y Combinator,https://www.autodial.com
2026-08-12T11:58:35.198546+00:00,5,Pyxai,STARTUP,1.0,Y Combinator,https://www.pyxai.com
2026-08-12T11:58:35.198678+00:00,10,Aura Vision,STARTUP,1.0,Y Combinator,https://auravision.ai
2026-08-12T11:58:35.198728+00:00,3,Hypnos,STARTUP,1.0,Y Combinator,http://hypnos.ai
2026-08-12T11:58:35.198736+00:00,65,Superb AI,STARTUP,1.0,Y Combinator,https://www.superb-ai.com
2026-08-12T11:58:35.198747+00:00,6,Traverse Technologies,STARTUP,1.0,Y Combinator,https://traverse.ai
2026-08-12T11:58:35.198779+00:00,12,Upsolve,STARTUP,1.0,Y Combinator,https://upsolve.org/learn/should-i-file-for-chapter-7-bankruptcy/
2026-08-12T11:58:35.198966+00:00,46,Glide,STARTUP,1.0,Y Combinator,https://www.glideapps.com
2026-08-12T11:58:35.198998+00:00,34,AXDRAFT,STARTUP,1.0,Y Combinator,https://axdraft.com
